,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,name,artist
53,0.0984,https://api.spotify.com/v1/audio-analysis/0Pfsjbknx0O36IH8zJJp6g,0.753,236800,0.509,0Pfsjbknx0O36IH8zJJp6g,0.668,7,0.307,-5.094,1,0.049,149.985,4,https://api.spotify.com/v1/tracks/0Pfsjbknx0O36IH8zJJp6g,audio_features,spotify:track:0Pfsjbknx0O36IH8zJJp6g,0.066,Safe Place,DJ Kakah
54,0.109,https://api.spotify.com/v1/audio-analysis/1aTskiw4dc5wrXPBHWFiu6,0.577,217037,0.489,1aTskiw4dc5wrXPBHWFiu6,0.0,8,0.303,-9.752,1,0.0932,169.888,4,https://api.spotify.com/v1/tracks/1aTskiw4dc5wrXPBHWFiu6,audio_features,spotify:track:1aTskiw4dc5wrXPBHWFiu6,0.387,Don't Be Afraid,Dru
55,0.417,https://api.spotify.com/v1/audio-analysis/0CiRnuzUmOlm2rPxRTD2nY,0.449,509427,0.468,0CiRnuzUmOlm2rPxRTD2nY,0.00115,10,0.06,-6.81,0,0.033,139.913,4,https://api.spotify.com/v1/tracks/0CiRnuzUmOlm2rPxRTD2nY,audio_features,spotify:track:0CiRnuzUmOlm2rPxRTD2nY,0.325,Tell Me,Usher
56,0.613,https://api.spotify.com/v1/audio-analysis/2IYfvQSAJXSclAI6CMGqp1,0.668,199092,0.572,2IYfvQSAJXSclAI6CMGqp1,2.1e-06,8,0.104,-7.05,1,0.208,169.833,4,https://api.spotify.com/v1/tracks/2IYfvQSAJXSclAI6CMGqp1,audio_features,spotify:track:2IYfvQSAJXSclAI6CMGqp1,0.181,Picoloco,A.D.Z
57,0.488,https://api.spotify.com/v1/audio-analysis/6VuRReHAtN9yaGCg2elk0Y,0.392,429236,0.315,6VuRReHAtN9yaGCg2elk0Y,0.0,0,0.127,-10.371,1,0.0383,126.243,4,https://api.spotify.com/v1/tracks/6VuRReHAtN9yaGCg2elk0Y,audio_features,spotify:track:6VuRReHAtN9yaGCg2elk0Y,0.253,Spirit Bird,Xavier Rudd
58,0.23,https://api.spotify.com/v1/audio-analysis/5saWOAcdIdmERJqSujSxUa,0.44,193667,0.57,5saWOAcdIdmERJqSujSxUa,0.000153,9,0.111,-7.009,1,0.0408,90.013,4,https://api.spotify.com/v1/tracks/5saWOAcdIdmERJqSujSxUa,audio_features,spotify:track:5saWOAcdIdmERJqSujSxUa,0.244,Missing You,Anthony Keyrouz
59,0.206,https://api.spotify.com/v1/audio-analysis/1XUMUjJEyTZc3uoc41IJoR,0.72,199853,0.633,1XUMUjJEyTZc3uoc41IJoR,0.000284,1,0.372,-5.536,1,0.067,140.402,4,https://api.spotify.com/v1/tracks/1XUMUjJEyTZc3uoc41IJoR,audio_features,spotify:track:1XUMUjJEyTZc3uoc41IJoR,0.402,Synchronized,Ilkay Sencan
60,0.053,https://api.spotify.com/v1/audio-analysis/3GTes8tWU3OzonlsWM9yVX,0.601,258941,0.535,3GTes8tWU3OzonlsWM9yVX,0.0,1,0.103,-7.41,1,0.0639,176.029,4,https://api.spotify.com/v1/tracks/3GTes8tWU3OzonlsWM9yVX,audio_features,spotify:track:3GTes8tWU3OzonlsWM9yVX,0.214,Touch Me - Remix,Mel
61,0.285,https://api.spotify.com/v1/audio-analysis/5I8LJDfTW1drczaIQlklp4,0.746,223992,0.458,5I8LJDfTW1drczaIQlklp4,0.000252,6,0.0632,-7.369,0,0.0895,139.856,4,https://api.spotify.com/v1/tracks/5I8LJDfTW1drczaIQlklp4,audio_features,spotify:track:5I8LJDfTW1drczaIQlklp4,0.318,Leave You (feat. Randy Wisky),Lola Jane
62,0.0858,https://api.spotify.com/v1/audio-analysis/1OjmLuc3Kf34WcEAasCjsO,0.377,222000,0.334,1OjmLuc3Kf34WcEAasCjsO,0.00182,8,0.0756,-10.833,0,0.0757,80.521,4,https://api.spotify.com/v1/tracks/1OjmLuc3Kf34WcEAasCjsO,audio_features,spotify:track:1OjmLuc3Kf34WcEAasCjsO,0.0919,"Middle of Things, Beautiful Wife (feat. Xavier Omär))",Sango
63,0.0362,https://api.spotify.com/v1/audio-analysis/1eohzgRScljJioDNrw7h9L,0.727,283116,0.621,1eohzgRScljJioDNrw7h9L,0.0,3,0.257,-6.954,0,0.114,156.029,4,https://api.spotify.com/v1/tracks/1eohzgRScljJioDNrw7h9L,audio_features,spotify:track:1eohzgRScljJioDNrw7h9L,0.937,Breathe,Mickey Blue
64,0.399,https://api.spotify.com/v1/audio-analysis/5XDGDI8HY4rl2FcrdN535D,0.639,225467,0.548,5XDGDI8HY4rl2FcrdN535D,0.0188,7,0.145,-9.294,1,0.0301,82.02,4,https://api.spotify.com/v1/tracks/5XDGDI8HY4rl2FcrdN535D,audio_features,spotify:track:5XDGDI8HY4rl2FcrdN535D,0.503,Jamais te laisser,Koud Pouss
65,0.0144,https://api.spotify.com/v1/audio-analysis/515FmMcpyED6wCTImIEir8,0.712,285653,0.845,515FmMcpyED6wCTImIEir8,0.00553,9,0.0603,-6.942,1,0.035,99.977,4,https://api.spotify.com/v1/tracks/515FmMcpyED6wCTImIEir8,audio_features,spotify:track:515FmMcpyED6wCTImIEir8,0.708,Mi Tche Mwen,Patrick Saint-Eloi
66,0.101,https://api.spotify.com/v1/audio-analysis/1GiZNcxg8aIDp4b79AD1iZ,0.563,281748,0.844,1GiZNcxg8aIDp4b79AD1iZ,3.92e-05,7,0.0921,-6.924,0,0.0393,175.928,4,https://api.spotify.com/v1/tracks/1GiZNcxg8aIDp4b79AD1iZ,audio_features,spotify:track:1GiZNcxg8aIDp4b79AD1iZ,0.75,Enseparab,T-Vice
67,0.365,https://api.spotify.com/v1/audio-analysis/5RvED3NaFaXNDEhoJh5Cv2,0.703,308000,0.626,5RvED3NaFaXNDEhoJh5Cv2,0.0449,4,0.294,-12.243,0,0.0364,93.648,4,https://api.spotify.com/v1/tracks/5RvED3NaFaXNDEhoJh5Cv2,audio_features,spotify:track:5RvED3NaFaXNDEhoJh5Cv2,0.515,Lè Nap Fè Lanmou,Mizik Mizik
68,0.0879,https://api.spotify.com/v1/audio-analysis/7sJYquSlj8cSMqFtk3A8FJ,0.784,286840,0.665,7sJYquSlj8cSMqFtk3A8FJ,0.00308,8,0.0658,-8.863,1,0.0807,100.718,4,https://api.spotify.com/v1/tracks/7sJYquSlj8cSMqFtk3A8FJ,audio_features,spotify:track:7sJYquSlj8cSMqFtk3A8FJ,0.786,Flanm,Emeline Michel
